district,block,clf_id,clf_name,partner_organization,project_title
Raigarh,Tamnar,330000154405,MAHILA JAGRITI CLF DHAURABHANTHA,PRADAN/RCRC,
Raipur,Arang,330000154825,AMRIT MAHILA SANKUL SANGATHAN GULLU,PRADAN/RCRC,
Raipur,Arang,330000154802,ASHA CLUSTER SANGTHAN GRAM CHANDKHUR,PRADAN/RCRC,
Raipur,Arang,330000154818,SANGAM KALASTAR SANGATHAN RASANI,PRADAN/RCRC,
Raipur,Dharsiwa,330000154915,LAKSHYA MAHILA CLUSTER SANGATHAN MANA BASTI,PRADAN/RCRC,
Raipur,Tilda,330000154958,AARADHANA CLUSTER SANGATHAN KOTA CLUSTER,PRADAN/RCRC,
Raipur,Tilda,330000154927,BHUMI MAHILA CLUSTER SANGATHAN,PRADAN/RCRC,
Rajnandagon,Chhuria,330000154553,MAHATARI AJIVIKA SANKUL SANGATHAN,PRADAN/RCRC,
Rajnandagon,Chhuria,330000154548,SAMRIDHI AAJIVIKA SANKUL SANGATHAN KUMAR DA,PRADAN/RCRC,
Rajnandagon,Dongargaon,330000154595,ASTHA SANKUL SANGHATHAN SONESARAR,PRADAN/RCRC,
Rajnandagon,Dongargaon,330000154595,ASTHA SANKUL SANGHATHAN SONESARAR,TRI,
Rajnandagon,Dongargaon,330000154582,BHARAT MATA SANKUL SANGHATAHAN,PRADAN/RCRC,
Rajnandagon,Dongargaon,330000154582,BHARAT MATA SANKUL SANGHATAHAN,TRI,
Rajnandagon,Dongargaon,330000154569,MATRIBHUMI SANKUL SANGATHAN TUMDIBOD,PRADAN/RCRC,
Rajnandagon,Dongargaon,330000154569,MATRIBHUMI SANKUL SANGATHAN TUMDIBOD,TRI,
Rajnandagon,Dongargaon,330000154576,SUPRABHAT CLUSTER SANGATHAN JAI BIHAN ARJUNI,TRI,
Rajnandagon,Rajnandgaon,330000154763,ANCHAL CLASTER SANGATHAN PADUMTARA,PRADAN/RCRC,
Rajnandagon,Rajnandgaon,330000154785,SAKHI CLUSTER SANGATHAN,PRADAN/RCRC,
Rajnandagon,Rajnandgaon,330000154792,VAIBHAB MAHILA SANKUL SANGATHAN SANKUL GHUMKA,PRADAN/RCRC,
Rajnandagon,Rajnandgaon,330000154771,VRINDAVAN CLF SURGI BIHAN,PRADAN/RCRC,
Surajpur,Pratappur,330000155241,NARMADA MAHILA CLF,PRADAN/RCRC,
Surajpur,Pratappur,330000155256,YASHODA MAHILA CLF,PRADAN/RCRC,
Surajpur,Surajpur,330000155327,LAXMI MAHILA CLUSTER,PRADAN/RCRC,
Surajpur,Surajpur,330000155315,TEJSWANI MAHILA CLUSTER SANGATHAN,PRADAN/RCRC,
Surajpur,Surajpur,330000155304,UMANG MAHILA CLUSTER SANGATHAN SHIVNANDANPUR,PRADAN/RCRC,
Surguja,Ambikapur,330000155343,ROSHANI AAJIVIKA KALASTER SANGH LAXMI PATAR JYA SINGH SUMITRA SINGH,PRADAN/RCRC,
Surguja,Ambikapur,330000155370,SAMRIDHI SARGUJA SANGH AMBIKAPUR,PRADAN/RCRC,
Surguja,Ambikapur,330000155362,VANDEVI AJIVIKA KALASTAR SANGH,PRADAN/RCRC,
Surguja,Batauli,330000155406,HAMAR SANGWARI SANGH,PRADAN/RCRC,
Surguja,Batauli,330000155391,JIGYASHA AAJIWIKA CLUSTER,PRADAN/RCRC,
Surguja,Lakhanpur,330000155452,MRS. SABERA AJIBIKA SANKUL SAN,PRADAN/RCRC,
Surguja,Lakhanpur,330000155468,SWAVERA AAJEEVIKA CLUSTER SANGTHAN,PRADAN/RCRC,
Surguja,Lundra,330000155434,ROSHANI AJEEVIKA CLUSTER SANGH,PRADAN/RCRC,
Surguja,Mainpat,330000155499,JIVAN SAHARA,PRADAN/RCRC,
Surguja,Mainpat,330000155508,ROSHNI CLUSTER MAHILA NARBADA,PRADAN/RCRC,
Surguja,Sitapur,330000155531,ANOKHA AAJIWIKA CLUSTER SANGH BANEYA,PRADAN/RCRC,
Surguja,Sitapur,330000155549,GANGA AJAVIKA CLUSTER SANGH GP BHUSU,PRADAN/RCRC,
